sku,store_view_code,attribute_set_code,product_type,series_name,model,categories,brand_name,manufacturer,product_websites,name,short_description,description,weight,length,width,height,primary_battery,display,wireless,memory,keyboard,video_card,driver,hard_drive,optical_drive,power_cord,documentation,hard_drive_software,color_choice,packaging,processor_label,carrying_cases,warranty,product_online,tax_class_name,visibility,price,colors,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
NS13A2IN075P,,Default,simple,LIBER,NS13A2IN075P,"Defalut,Defalut/Bestselling Products,Defalut/Lifestyle Laptops,Defalut/Top 10 Offers,Defalut/Latest Arrival,Defalut/AVITA",AVITA,Alco,base,"AVITA LIBER 13.3"" i5-8250U 8GB 512GB SSD Iris on Ruby","AVITA LIBER 13.3""","AVITA LIBER 13.3""<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>31.5</td><th>Width</th><td>21.2</td></tr><tr><th>Height</th><td>15</td><th>Primary Battery</th><td>36 WHr, 2-Cell Battery</td></tr><tr><th>Display</th><td>13.3"" FHD IPS Display (1920x1080)</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth 4.0</td></tr><tr><th>Memory</th><td>4GB/8GB DDR3</td><th>Keyboard</th><td>Island-type Keyboard (with Backlit - optional)</td></tr><tr><th>Video Card</th><td>Intel HD Graphics</td><th>Hard Drive</th><td>Wireless driver for 802.11ac + Bluetooth 4.0</td></tr><tr><th>Optical Drive</th><td>128GB SSD / 256GB SSD / 512GB SSD</td><th>Power Cord</th><td>No Optical Drive</td></tr><tr><th>Documentation</th><td>Included</td><th>Hard Drive Software</th><td>Quick Start Guide</td></tr><tr><th>Color Choice</th><td>SSD</td><th>Packaging</th><td>Black / Silver/ Space Grey / Other Colours</td></tr><tr><th>Processor Label</th><td>Shipping Material</td><th>Power Supply</th><td>Intel Processor</td></tr><tr><th>Carrying Cases</th><td>Laptop Bag</td><th>Warranty</th><td>18 + 6 Months</td></tr></table>",1.35,31.5,21.2,15,"36 WHr, 2-Cell Battery","13.3"" FHD IPS Display (1920x1080)","IEEE 802.11 b/g/n/ac, Bluetooth 4.0",4GB/8GB DDR3,Island-type Keyboard (with Backlit - optional),Intel HD Graphics,Wireless driver for 802.11ac + Bluetooth 4.0,128GB SSD / 256GB SSD / 512GB SSD,No Optical Drive,Included,Quick Start Guide,SSD,Black / Silver/ Space Grey / Other Colours,Shipping Material,Intel Processor,Laptop Bag,18 + 6 Months,1,Taxable Goods,"Catalog, Search",61090,Iris on Ruby,45990,,,"AVITA LIBER 13.3"" i5-8250U 8GB 512GB SSD NS13A2IN075P",,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NS13A2IN076P,,Default,simple,LIBER,NS13A2IN076P,"Defalut,Defalut/Bestselling Products,Defalut/Lifestyle Laptops,Defalut/Top 10 Offers,Defalut/Latest Arrival,Defalut/AVITA",AVITA,Alco,base,"AVITA LIBER 13.3"" i5-8250U 8GB 512GB SSD Ornament on Gold","AVITA LIBER 13.3""","AVITA LIBER 13.3""<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>31.5</td><th>Width</th><td>21.2</td></tr><tr><th>Height</th><td>15</td><th>Primary Battery</th><td>36 WHr, 2-Cell Battery</td></tr><tr><th>Display</th><td>13.3"" FHD IPS Display (1920x1080)</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth 4.0</td></tr><tr><th>Memory</th><td>4GB/8GB DDR3</td><th>Keyboard</th><td>Island-type Keyboard (with Backlit - optional)</td></tr><tr><th>Video Card</th><td>Intel HD Graphics</td><th>Hard Drive</th><td>Wireless driver for 802.11ac + Bluetooth 4.0</td></tr><tr><th>Optical Drive</th><td>128GB SSD / 256GB SSD / 512GB SSD</td><th>Power Cord</th><td>No Optical Drive</td></tr><tr><th>Documentation</th><td>Included</td><th>Hard Drive Software</th><td>Quick Start Guide</td></tr><tr><th>Color Choice</th><td>SSD</td><th>Packaging</th><td>Black / Silver/ Space Grey / Other Colours</td></tr><tr><th>Processor Label</th><td>Shipping Material</td><th>Power Supply</th><td>Intel Processor</td></tr><tr><th>Carrying Cases</th><td>Laptop Bag</td><th>Warranty</th><td>18 + 6 Months</td></tr></table>",1.35,31.5,21.2,15,"36 WHr, 2-Cell Battery","13.3"" FHD IPS Display (1920x1080)","IEEE 802.11 b/g/n/ac, Bluetooth 4.0",4GB/8GB DDR3,Island-type Keyboard (with Backlit - optional),Intel HD Graphics,Wireless driver for 802.11ac + Bluetooth 4.0,128GB SSD / 256GB SSD / 512GB SSD,No Optical Drive,Included,Quick Start Guide,SSD,Black / Silver/ Space Grey / Other Colours,Shipping Material,Intel Processor,Laptop Bag,18 + 6 Months,1,Taxable Goods,"Catalog, Search",61090,Ornament on Gold,45990,,,"AVITA LIBER 13.3"" i5-8250U 8GB 512GB SSD NS13A2IN076P",,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NS13A2IN079P,,Default,simple,LIBER,NS13A2IN079P,"Defalut,Defalut/Bestselling Products,Defalut/Lifestyle Laptops,Defalut/Top 10 Offers,Defalut/Latest Arrival,Defalut/AVITA",AVITA,Alco,base,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD Champagne Gold","AVITA LIBER 13.3""","AVITA LIBER 13.3""<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>31.5</td><th>Width</th><td>21.2</td></tr><tr><th>Height</th><td>15</td><th>Primary Battery</th><td>36 WHr, 2-Cell Battery</td></tr><tr><th>Display</th><td>13.3"" FHD IPS Display (1920x1080)</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth 4.0</td></tr><tr><th>Memory</th><td>4GB/8GB DDR3</td><th>Keyboard</th><td>Island-type Keyboard (with Backlit - optional)</td></tr><tr><th>Video Card</th><td>Intel HD Graphics</td><th>Hard Drive</th><td>Wireless driver for 802.11ac + Bluetooth 4.0</td></tr><tr><th>Optical Drive</th><td>128GB SSD / 256GB SSD / 512GB SSD</td><th>Power Cord</th><td>No Optical Drive</td></tr><tr><th>Documentation</th><td>Included</td><th>Hard Drive Software</th><td>Quick Start Guide</td></tr><tr><th>Color Choice</th><td>SSD</td><th>Packaging</th><td>Black / Silver/ Space Grey / Other Colours</td></tr><tr><th>Processor Label</th><td>Shipping Material</td><th>Power Supply</th><td>Intel Processor</td></tr><tr><th>Carrying Cases</th><td>Laptop Bag</td><th>Warranty</th><td>18 + 6 Months</td></tr></table>",1.35,31.5,21.2,15,"36 WHr, 2-Cell Battery","13.3"" FHD IPS Display (1920x1080)","IEEE 802.11 b/g/n/ac, Bluetooth 4.0",4GB/8GB DDR3,Island-type Keyboard (with Backlit - optional),Intel HD Graphics,Wireless driver for 802.11ac + Bluetooth 4.0,128GB SSD / 256GB SSD / 512GB SSD,No Optical Drive,Included,Quick Start Guide,SSD,Black / Silver/ Space Grey / Other Colours,Shipping Material,Intel Processor,Laptop Bag,18 + 6 Months,1,Taxable Goods,"Catalog, Search",61090,Champagne Gold,45990,,,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD NS13A2IN079P",,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NS13A2IN080P,,Default,simple,LIBER,NS13A2IN080P,"Defalut,Defalut/Bestselling Products,Defalut/Lifestyle Laptops,Defalut/Top 10 Offers,Defalut/Latest Arrival,Defalut/AVITA",AVITA,Alco,base,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD Space Grey","AVITA LIBER 13.3""","AVITA LIBER 13.3""<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>31.5</td><th>Width</th><td>21.2</td></tr><tr><th>Height</th><td>15</td><th>Primary Battery</th><td>36 WHr, 2-Cell Battery</td></tr><tr><th>Display</th><td>13.3"" FHD IPS Display (1920x1080)</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth 4.0</td></tr><tr><th>Memory</th><td>4GB/8GB DDR3</td><th>Keyboard</th><td>Island-type Keyboard (with Backlit - optional)</td></tr><tr><th>Video Card</th><td>Intel HD Graphics</td><th>Hard Drive</th><td>Wireless driver for 802.11ac + Bluetooth 4.0</td></tr><tr><th>Optical Drive</th><td>128GB SSD / 256GB SSD / 512GB SSD</td><th>Power Cord</th><td>No Optical Drive</td></tr><tr><th>Documentation</th><td>Included</td><th>Hard Drive Software</th><td>Quick Start Guide</td></tr><tr><th>Color Choice</th><td>SSD</td><th>Packaging</th><td>Black / Silver/ Space Grey / Other Colours</td></tr><tr><th>Processor Label</th><td>Shipping Material</td><th>Power Supply</th><td>Intel Processor</td></tr><tr><th>Carrying Cases</th><td>Laptop Bag</td><th>Warranty</th><td>18 + 6 Months</td></tr></table>",1.35,31.5,21.2,15,"36 WHr, 2-Cell Battery","13.3"" FHD IPS Display (1920x1080)","IEEE 802.11 b/g/n/ac, Bluetooth 4.0",4GB/8GB DDR3,Island-type Keyboard (with Backlit - optional),Intel HD Graphics,Wireless driver for 802.11ac + Bluetooth 4.0,128GB SSD / 256GB SSD / 512GB SSD,No Optical Drive,Included,Quick Start Guide,SSD,Black / Silver/ Space Grey / Other Colours,Shipping Material,Intel Processor,Laptop Bag,18 + 6 Months,1,Taxable Goods,"Catalog, Search",61090,Space Grey,45990,,,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD NS13A2IN080P",,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NS13A2IN081P,,Default,simple,LIBER,NS13A2IN081P,"Defalut,Defalut/Bestselling Products,Defalut/Lifestyle Laptops,Defalut/Top 10 Offers,Defalut/Latest Arrival,Defalut/AVITA",AVITA,Alco,base,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD Blossom Pink","AVITA LIBER 13.3""","AVITA LIBER 13.3""<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>31.5</td><th>Width</th><td>21.2</td></tr><tr><th>Height</th><td>15</td><th>Primary Battery</th><td>36 WHr, 2-Cell Battery</td></tr><tr><th>Display</th><td>13.3"" FHD IPS Display (1920x1080)</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth 4.0</td></tr><tr><th>Memory</th><td>4GB/8GB DDR3</td><th>Keyboard</th><td>Island-type Keyboard (with Backlit - optional)</td></tr><tr><th>Video Card</th><td>Intel HD Graphics</td><th>Hard Drive</th><td>Wireless driver for 802.11ac + Bluetooth 4.0</td></tr><tr><th>Optical Drive</th><td>128GB SSD / 256GB SSD / 512GB SSD</td><th>Power Cord</th><td>No Optical Drive</td></tr><tr><th>Documentation</th><td>Included</td><th>Hard Drive Software</th><td>Quick Start Guide</td></tr><tr><th>Color Choice</th><td>SSD</td><th>Packaging</th><td>Black / Silver/ Space Grey / Other Colours</td></tr><tr><th>Processor Label</th><td>Shipping Material</td><th>Power Supply</th><td>Intel Processor</td></tr><tr><th>Carrying Cases</th><td>Laptop Bag</td><th>Warranty</th><td>18 + 6 Months</td></tr></table>",1.35,31.5,21.2,15,"36 WHr, 2-Cell Battery","13.3"" FHD IPS Display (1920x1080)","IEEE 802.11 b/g/n/ac, Bluetooth 4.0",4GB/8GB DDR3,Island-type Keyboard (with Backlit - optional),Intel HD Graphics,Wireless driver for 802.11ac + Bluetooth 4.0,128GB SSD / 256GB SSD / 512GB SSD,No Optical Drive,Included,Quick Start Guide,SSD,Black / Silver/ Space Grey / Other Colours,Shipping Material,Intel Processor,Laptop Bag,18 + 6 Months,1,Taxable Goods,"Catalog, Search",61090,Blossom Pink,45990,,,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD NS13A2IN081P",,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NS13A2IN082P,,Default,simple,LIBER,NS13A2IN082P,"Defalut,Defalut/Bestselling Products,Defalut/Lifestyle Laptops,Defalut/Top 10 Offers,Defalut/Latest Arrival,Defalut/AVITA",AVITA,Alco,base,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD Urban Ruby","AVITA LIBER 13.3""","AVITA LIBER 13.3""<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>31.5</td><th>Width</th><td>21.2</td></tr><tr><th>Height</th><td>15</td><th>Primary Battery</th><td>36 WHr, 2-Cell Battery</td></tr><tr><th>Display</th><td>13.3"" FHD IPS Display (1920x1080)</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth 4.0</td></tr><tr><th>Memory</th><td>4GB/8GB DDR3</td><th>Keyboard</th><td>Island-type Keyboard (with Backlit - optional)</td></tr><tr><th>Video Card</th><td>Intel HD Graphics</td><th>Hard Drive</th><td>Wireless driver for 802.11ac + Bluetooth 4.0</td></tr><tr><th>Optical Drive</th><td>128GB SSD / 256GB SSD / 512GB SSD</td><th>Power Cord</th><td>No Optical Drive</td></tr><tr><th>Documentation</th><td>Included</td><th>Hard Drive Software</th><td>Quick Start Guide</td></tr><tr><th>Color Choice</th><td>SSD</td><th>Packaging</th><td>Black / Silver/ Space Grey / Other Colours</td></tr><tr><th>Processor Label</th><td>Shipping Material</td><th>Power Supply</th><td>Intel Processor</td></tr><tr><th>Carrying Cases</th><td>Laptop Bag</td><th>Warranty</th><td>18 + 6 Months</td></tr></table>",1.35,31.5,21.2,15,"36 WHr, 2-Cell Battery","13.3"" FHD IPS Display (1920x1080)","IEEE 802.11 b/g/n/ac, Bluetooth 4.0",4GB/8GB DDR3,Island-type Keyboard (with Backlit - optional),Intel HD Graphics,Wireless driver for 802.11ac + Bluetooth 4.0,128GB SSD / 256GB SSD / 512GB SSD,No Optical Drive,Included,Quick Start Guide,SSD,Black / Silver/ Space Grey / Other Colours,Shipping Material,Intel Processor,Laptop Bag,18 + 6 Months,1,Taxable Goods,"Catalog, Search",61090,Urban Ruby,45990,,,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD NS13A2IN082P",,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NS13A2IN083P,,Default,simple,LIBER,NS13A2IN083P,"Defalut,Defalut/Bestselling Products,Defalut/Lifestyle Laptops,Defalut/Top 10 Offers,Defalut/Latest Arrival,Defalut/AVITA",AVITA,Alco,base,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD Sunrise Orange","AVITA LIBER 13.3""","AVITA LIBER 13.3""<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>31.5</td><th>Width</th><td>21.2</td></tr><tr><th>Height</th><td>15</td><th>Primary Battery</th><td>36 WHr, 2-Cell Battery</td></tr><tr><th>Display</th><td>13.3"" FHD IPS Display (1920x1080)</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth 4.0</td></tr><tr><th>Memory</th><td>4GB/8GB DDR3</td><th>Keyboard</th><td>Island-type Keyboard (with Backlit - optional)</td></tr><tr><th>Video Card</th><td>Intel HD Graphics</td><th>Hard Drive</th><td>Wireless driver for 802.11ac + Bluetooth 4.0</td></tr><tr><th>Optical Drive</th><td>128GB SSD / 256GB SSD / 512GB SSD</td><th>Power Cord</th><td>No Optical Drive</td></tr><tr><th>Documentation</th><td>Included</td><th>Hard Drive Software</th><td>Quick Start Guide</td></tr><tr><th>Color Choice</th><td>SSD</td><th>Packaging</th><td>Black / Silver/ Space Grey / Other Colours</td></tr><tr><th>Processor Label</th><td>Shipping Material</td><th>Power Supply</th><td>Intel Processor</td></tr><tr><th>Carrying Cases</th><td>Laptop Bag</td><th>Warranty</th><td>18 + 6 Months</td></tr></table>",1.35,31.5,21.2,15,"36 WHr, 2-Cell Battery","13.3"" FHD IPS Display (1920x1080)","IEEE 802.11 b/g/n/ac, Bluetooth 4.0",4GB/8GB DDR3,Island-type Keyboard (with Backlit - optional),Intel HD Graphics,Wireless driver for 802.11ac + Bluetooth 4.0,128GB SSD / 256GB SSD / 512GB SSD,No Optical Drive,Included,Quick Start Guide,SSD,Black / Silver/ Space Grey / Other Colours,Shipping Material,Intel Processor,Laptop Bag,18 + 6 Months,1,Taxable Goods,"Catalog, Search",61090,Sunrise Orange,45990,,,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD NS13A2IN083P",,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NS13A2IN084P,,Default,simple,LIBER,NS13A2IN084P,"Defalut,Defalut/Bestselling Products,Defalut/Lifestyle Laptops,Defalut/Top 10 Offers,Defalut/Latest Arrival,Defalut/AVITA",AVITA,Alco,base,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD Fragrant Lilac","AVITA LIBER 13.3""","AVITA LIBER 13.3""<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>31.5</td><th>Width</th><td>21.2</td></tr><tr><th>Height</th><td>15</td><th>Primary Battery</th><td>36 WHr, 2-Cell Battery</td></tr><tr><th>Display</th><td>13.3"" FHD IPS Display (1920x1080)</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth 4.0</td></tr><tr><th>Memory</th><td>4GB/8GB DDR3</td><th>Keyboard</th><td>Island-type Keyboard (with Backlit - optional)</td></tr><tr><th>Video Card</th><td>Intel HD Graphics</td><th>Hard Drive</th><td>Wireless driver for 802.11ac + Bluetooth 4.0</td></tr><tr><th>Optical Drive</th><td>128GB SSD / 256GB SSD / 512GB SSD</td><th>Power Cord</th><td>No Optical Drive</td></tr><tr><th>Documentation</th><td>Included</td><th>Hard Drive Software</th><td>Quick Start Guide</td></tr><tr><th>Color Choice</th><td>SSD</td><th>Packaging</th><td>Black / Silver/ Space Grey / Other Colours</td></tr><tr><th>Processor Label</th><td>Shipping Material</td><th>Power Supply</th><td>Intel Processor</td></tr><tr><th>Carrying Cases</th><td>Laptop Bag</td><th>Warranty</th><td>18 + 6 Months</td></tr></table>",1.35,31.5,21.2,15,"36 WHr, 2-Cell Battery","13.3"" FHD IPS Display (1920x1080)","IEEE 802.11 b/g/n/ac, Bluetooth 4.0",4GB/8GB DDR3,Island-type Keyboard (with Backlit - optional),Intel HD Graphics,Wireless driver for 802.11ac + Bluetooth 4.0,128GB SSD / 256GB SSD / 512GB SSD,No Optical Drive,Included,Quick Start Guide,SSD,Black / Silver/ Space Grey / Other Colours,Shipping Material,Intel Processor,Laptop Bag,18 + 6 Months,1,Taxable Goods,"Catalog, Search",61090,Fragrant Lilac,45990,,,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD NS13A2IN084P",,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NS13A2IN085P,,Default,simple,LIBER,NS13A2IN085P,"Defalut,Defalut/Bestselling Products,Defalut/Lifestyle Laptops,Defalut/Top 10 Offers,Defalut/Latest Arrival,Defalut/AVITA",AVITA,Alco,base,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD Shamrock Green","AVITA LIBER 13.3""","AVITA LIBER 13.3""<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>31.5</td><th>Width</th><td>21.2</td></tr><tr><th>Height</th><td>15</td><th>Primary Battery</th><td>36 WHr, 2-Cell Battery</td></tr><tr><th>Display</th><td>13.3"" FHD IPS Display (1920x1080)</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth 4.0</td></tr><tr><th>Memory</th><td>4GB/8GB DDR3</td><th>Keyboard</th><td>Island-type Keyboard (with Backlit - optional)</td></tr><tr><th>Video Card</th><td>Intel HD Graphics</td><th>Hard Drive</th><td>Wireless driver for 802.11ac + Bluetooth 4.0</td></tr><tr><th>Optical Drive</th><td>128GB SSD / 256GB SSD / 512GB SSD</td><th>Power Cord</th><td>No Optical Drive</td></tr><tr><th>Documentation</th><td>Included</td><th>Hard Drive Software</th><td>Quick Start Guide</td></tr><tr><th>Color Choice</th><td>SSD</td><th>Packaging</th><td>Black / Silver/ Space Grey / Other Colours</td></tr><tr><th>Processor Label</th><td>Shipping Material</td><th>Power Supply</th><td>Intel Processor</td></tr><tr><th>Carrying Cases</th><td>Laptop Bag</td><th>Warranty</th><td>18 + 6 Months</td></tr></table>",1.35,31.5,21.2,15,"36 WHr, 2-Cell Battery","13.3"" FHD IPS Display (1920x1080)","IEEE 802.11 b/g/n/ac, Bluetooth 4.0",4GB/8GB DDR3,Island-type Keyboard (with Backlit - optional),Intel HD Graphics,Wireless driver for 802.11ac + Bluetooth 4.0,128GB SSD / 256GB SSD / 512GB SSD,No Optical Drive,Included,Quick Start Guide,SSD,Black / Silver/ Space Grey / Other Colours,Shipping Material,Intel Processor,Laptop Bag,18 + 6 Months,1,Taxable Goods,"Catalog, Search",61090,Shamrock Green,45990,,,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD NS13A2IN085P",,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NS13A2IN086P,,Default,simple,LIBER,NS13A2IN086P,"Defalut,Defalut/Bestselling Products,Defalut/Lifestyle Laptops,Defalut/Top 10 Offers,Defalut/Latest Arrival,Defalut/AVITA",AVITA,Alco,base,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD Angel Blue","AVITA LIBER 13.3""","AVITA LIBER 13.3""<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>31.5</td><th>Width</th><td>21.2</td></tr><tr><th>Height</th><td>15</td><th>Primary Battery</th><td>36 WHr, 2-Cell Battery</td></tr><tr><th>Display</th><td>13.3"" FHD IPS Display (1920x1080)</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth 4.0</td></tr><tr><th>Memory</th><td>4GB/8GB DDR3</td><th>Keyboard</th><td>Island-type Keyboard (with Backlit - optional)</td></tr><tr><th>Video Card</th><td>Intel HD Graphics</td><th>Hard Drive</th><td>Wireless driver for 802.11ac + Bluetooth 4.0</td></tr><tr><th>Optical Drive</th><td>128GB SSD / 256GB SSD / 512GB SSD</td><th>Power Cord</th><td>No Optical Drive</td></tr><tr><th>Documentation</th><td>Included</td><th>Hard Drive Software</th><td>Quick Start Guide</td></tr><tr><th>Color Choice</th><td>SSD</td><th>Packaging</th><td>Black / Silver/ Space Grey / Other Colours</td></tr><tr><th>Processor Label</th><td>Shipping Material</td><th>Power Supply</th><td>Intel Processor</td></tr><tr><th>Carrying Cases</th><td>Laptop Bag</td><th>Warranty</th><td>18 + 6 Months</td></tr></table>",1.35,31.5,21.2,15,"36 WHr, 2-Cell Battery","13.3"" FHD IPS Display (1920x1080)","IEEE 802.11 b/g/n/ac, Bluetooth 4.0",4GB/8GB DDR3,Island-type Keyboard (with Backlit - optional),Intel HD Graphics,Wireless driver for 802.11ac + Bluetooth 4.0,128GB SSD / 256GB SSD / 512GB SSD,No Optical Drive,Included,Quick Start Guide,SSD,Black / Silver/ Space Grey / Other Colours,Shipping Material,Intel Processor,Laptop Bag,18 + 6 Months,1,Taxable Goods,"Catalog, Search",61090,Angel Blue,45990,,,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD NS13A2IN086P",,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
